policy_id,policy_name,category,subcategory,department,description,version,effective_date,review_cycle,approval_authority,is_mandatory,last_updated_year,details
1012,Maternity Leave — Leave Policy,Leave Policy,Maternity Leave,Finance,"Outlines the leave entitlement, carry-forward rules, and encashment policies.",v1.0,19/04/2022,Annual,CHRO,Yes,2022,"{""days_per_year"": 6, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 0, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 0}"
1013,Sick Leave — Leave Policy,Leave Policy,Sick Leave,Operations,"Outlines the leave entitlement, carry-forward rules, and encashment policies.",v3.0,24/10/2022,Bi-Annual,HR Executive,Yes,2022,"{""days_per_year"": 15, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""No"", ""advance_notice_days"": 3}"
1014,Sick Leave — Leave Policy,Leave Policy,Sick Leave,Legal,"Specifies conditions under which leave can be availed, including advance notice requirements.",v2.0,02/07/2021,Annual,HR Executive,Yes,2021,"{""days_per_year"": 18, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 0, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 1}"
1015,Maternity Leave — Leave Policy,Leave Policy,Maternity Leave,HR,Details the approval workflow and documentation required for availing this leave type.,v1.2,15/09/2021,Bi-Annual,HR Executive,Yes,2021,"{""days_per_year"": 6, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 0, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 1}"
1016,Maternity Leave — Leave Policy,Leave Policy,Maternity Leave,Legal,"Outlines the leave entitlement, carry-forward rules, and encashment policies.",v1.0,13/05/2021,As Needed,Department Head,No,2021,"{""days_per_year"": 21, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 10, ""encashment_allowed"": ""No"", ""advance_notice_days"": 7}"
1017,Casual Leave — Leave Policy,Leave Policy,Casual Leave,Engineering,"Outlines the leave entitlement, carry-forward rules, and encashment policies.",v2.1,02/01/2023,Annual,Line Manager,Yes,2023,"{""days_per_year"": 15, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 7}"
1018,Sick Leave — Leave Policy,Leave Policy,Sick Leave,Finance,"Defines the number of leaves granted, eligibility criteria, and application process for employees.",v2.0,20/02/2021,Bi-Annual,HR Manager,Yes,2021,"{""days_per_year"": 12, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 10, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 2}"
1019,Maternity Leave — Leave Policy,Leave Policy,Maternity Leave,Admin,"Specifies conditions under which leave can be availed, including advance notice requirements.",v1.2,20/10/2024,Annual,HR Manager,No,2024,"{""days_per_year"": 6, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""No"", ""advance_notice_days"": 1}"
1020,Casual Leave — Leave Policy,Leave Policy,Casual Leave,HR,"Specifies conditions under which leave can be availed, including advance notice requirements.",v2.0,22/09/2021,Quarterly,Line Manager,Yes,2021,"{""days_per_year"": 10, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""No"", ""advance_notice_days"": 0}"
1021,Paternity Leave — Leave Policy,Leave Policy,Paternity Leave,Operations,"Specifies conditions under which leave can be availed, including advance notice requirements.",v2.1,22/11/2022,Quarterly,Department Head,Yes,2022,"{""days_per_year"": 21, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 15, ""encashment_allowed"": ""No"", ""advance_notice_days"": 0}"
1022,Maternity Leave — Leave Policy,Leave Policy,Maternity Leave,Engineering,"Defines the number of leaves granted, eligibility criteria, and application process for employees.",v1.2,24/08/2022,Quarterly,Department Head,Yes,2022,"{""days_per_year"": 15, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 0, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 0}"
1023,Sick Leave — Leave Policy,Leave Policy,Sick Leave,IT,"Covers restrictions, blackout periods, and maximum consecutive days allowed.",v1.1,10/06/2021,Bi-Annual,HR Executive,Yes,2021,"{""days_per_year"": 21, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 10, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 1}"
1024,Compensatory Off — Leave Policy,Leave Policy,Compensatory Off,Customer Support,Details the approval workflow and documentation required for availing this leave type.,v3.0,26/03/2022,Bi-Annual,Department Head,Yes,2022,"{""days_per_year"": 12, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""No"", ""advance_notice_days"": 3}"
1025,Casual Leave — Leave Policy,Leave Policy,Casual Leave,Engineering,Details the approval workflow and documentation required for availing this leave type.,v2.0,12/05/2024,Bi-Annual,Department Head,No,2024,"{""days_per_year"": 21, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 1}"
1026,Earned Leave — Leave Policy,Leave Policy,Earned Leave,Marketing,"Specifies conditions under which leave can be availed, including advance notice requirements.",v3.0,01/02/2023,As Needed,Line Manager,No,2023,"{""days_per_year"": 10, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 10, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 0}"
1027,Bereavement Leave — Leave Policy,Leave Policy,Bereavement Leave,Customer Support,Details the approval workflow and documentation required for availing this leave type.,v2.1,09/01/2022,As Needed,HR Manager,No,2022,"{""days_per_year"": 18, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 0, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 2}"
1028,Bereavement Leave — Leave Policy,Leave Policy,Bereavement Leave,Marketing,"Covers restrictions, blackout periods, and maximum consecutive days allowed.",v3.0,22/07/2023,Quarterly,HR Manager,No,2023,"{""days_per_year"": 10, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 10, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 1}"
1029,Maternity Leave — Leave Policy,Leave Policy,Maternity Leave,Customer Support,"Covers restrictions, blackout periods, and maximum consecutive days allowed.",v1.2,10/04/2023,Annual,HR Executive,Yes,2023,"{""days_per_year"": 12, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 15, ""encashment_allowed"": ""No"", ""advance_notice_days"": 3}"
1030,Maternity Leave — Leave Policy,Leave Policy,Maternity Leave,Operations,"Defines the number of leaves granted, eligibility criteria, and application process for employees.",v2.1,27/04/2021,Quarterly,Line Manager,Yes,2021,"{""days_per_year"": 18, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 1}"
1031,Casual Leave — Leave Policy,Leave Policy,Casual Leave,Sales,"Covers restrictions, blackout periods, and maximum consecutive days allowed.",v2.0,16/07/2024,Bi-Annual,HR Executive,Yes,2024,"{""days_per_year"": 8, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 0, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 3}"
1032,Compensatory Off — Leave Policy,Leave Policy,Compensatory Off,Engineering,Details the approval workflow and documentation required for availing this leave type.,v2.1,05/08/2024,Annual,Department Head,No,2024,"{""days_per_year"": 18, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 15, ""encashment_allowed"": ""No"", ""advance_notice_days"": 7}"
1033,Bereavement Leave — Leave Policy,Leave Policy,Bereavement Leave,Operations,Details the approval workflow and documentation required for availing this leave type.,v1.1,09/08/2022,As Needed,CHRO,No,2022,"{""days_per_year"": 6, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""No"", ""advance_notice_days"": 2}"
1034,Sick Leave — Leave Policy,Leave Policy,Sick Leave,Finance,"Outlines the leave entitlement, carry-forward rules, and encashment policies.",v2.0,14/07/2021,Bi-Annual,Department Head,No,2021,"{""days_per_year"": 10, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 15, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 1}"
1035,Compensatory Off — Leave Policy,Leave Policy,Compensatory Off,Customer Support,"Defines the number of leaves granted, eligibility criteria, and application process for employees.",v2.0,10/07/2023,Annual,HR Executive,No,2023,"{""days_per_year"": 21, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""No"", ""advance_notice_days"": 1}"
1036,Maternity Leave — Leave Policy,Leave Policy,Maternity Leave,Marketing,Details the approval workflow and documentation required for availing this leave type.,v3.0,05/10/2024,Bi-Annual,HR Executive,No,2024,"{""days_per_year"": 15, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 15, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 0}"
1037,Compensatory Off — Leave Policy,Leave Policy,Compensatory Off,Engineering,"Outlines the leave entitlement, carry-forward rules, and encashment policies.",v1.2,15/06/2022,Quarterly,HR Executive,Yes,2022,"{""days_per_year"": 10, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 10, ""encashment_allowed"": ""No"", ""advance_notice_days"": 2}"
1038,Sick Leave — Leave Policy,Leave Policy,Sick Leave,Marketing,"Defines the number of leaves granted, eligibility criteria, and application process for employees.",v1.1,08/04/2021,Annual,HR Manager,No,2021,"{""days_per_year"": 21, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 1}"
1039,Sick Leave — Leave Policy,Leave Policy,Sick Leave,Admin,"Outlines the leave entitlement, carry-forward rules, and encashment policies.",v3.0,20/10/2022,Quarterly,CHRO,Yes,2022,"{""days_per_year"": 18, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""No"", ""advance_notice_days"": 0}"
1040,Paternity Leave — Leave Policy,Leave Policy,Paternity Leave,Finance,Details the approval workflow and documentation required for availing this leave type.,v1.0,23/05/2021,Bi-Annual,Line Manager,No,2021,"{""days_per_year"": 21, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 0, ""encashment_allowed"": ""No"", ""advance_notice_days"": 7}"
1041,Earned Leave — Leave Policy,Leave Policy,Earned Leave,Marketing,"Covers restrictions, blackout periods, and maximum consecutive days allowed.",v1.0,14/06/2021,As Needed,HR Executive,No,2021,"{""days_per_year"": 18, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""No"", ""advance_notice_days"": 1}"
1042,Compensatory Off — Leave Policy,Leave Policy,Compensatory Off,Admin,Details the approval workflow and documentation required for availing this leave type.,v2.0,28/04/2023,Quarterly,Line Manager,No,2023,"{""days_per_year"": 21, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 10, ""encashment_allowed"": ""No"", ""advance_notice_days"": 1}"
1043,Paternity Leave — Leave Policy,Leave Policy,Paternity Leave,Engineering,"Specifies conditions under which leave can be availed, including advance notice requirements.",v2.0,07/06/2024,Bi-Annual,CHRO,No,2024,"{""days_per_year"": 21, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 10, ""encashment_allowed"": ""No"", ""advance_notice_days"": 7}"
1044,Sick Leave — Leave Policy,Leave Policy,Sick Leave,Sales,"Outlines the leave entitlement, carry-forward rules, and encashment policies.",v1.1,23/08/2022,As Needed,HR Executive,No,2022,"{""days_per_year"": 18, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 15, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 0}"
1045,Maternity Leave — Leave Policy,Leave Policy,Maternity Leave,Customer Support,"Specifies conditions under which leave can be availed, including advance notice requirements.",v1.2,24/09/2024,Quarterly,HR Executive,No,2024,"{""days_per_year"": 10, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 15, ""encashment_allowed"": ""No"", ""advance_notice_days"": 2}"
1046,Sick Leave — Leave Policy,Leave Policy,Sick Leave,Sales,"Specifies conditions under which leave can be availed, including advance notice requirements.",v3.0,07/12/2022,Bi-Annual,Line Manager,No,2022,"{""days_per_year"": 12, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 10, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 1}"
1047,Earned Leave — Leave Policy,Leave Policy,Earned Leave,Engineering,"Specifies conditions under which leave can be availed, including advance notice requirements.",v3.0,02/01/2023,Bi-Annual,Line Manager,Yes,2023,"{""days_per_year"": 15, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""No"", ""advance_notice_days"": 0}"
1048,Earned Leave — Leave Policy,Leave Policy,Earned Leave,Admin,Details the approval workflow and documentation required for availing this leave type.,v1.2,28/08/2023,Annual,Department Head,Yes,2023,"{""days_per_year"": 6, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 15, ""encashment_allowed"": ""No"", ""advance_notice_days"": 0}"
1049,Casual Leave — Leave Policy,Leave Policy,Casual Leave,Sales,"Specifies conditions under which leave can be availed, including advance notice requirements.",v1.1,25/09/2022,As Needed,HR Manager,No,2022,"{""days_per_year"": 12, ""carry_forward_allowed"": ""No"", ""max_carry_forward_days"": 15, ""encashment_allowed"": ""No"", ""advance_notice_days"": 7}"
1050,Paternity Leave — Leave Policy,Leave Policy,Paternity Leave,Customer Support,"Defines the number of leaves granted, eligibility criteria, and application process for employees.",v3.0,09/11/2022,Bi-Annual,HR Manager,Yes,2022,"{""days_per_year"": 6, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 7}"
1051,WFH Eligibility — Work From Home,Work From Home,WFH Eligibility,Customer Support,Details the hybrid schedule structure including mandatory office days per week.,v2.0,10/12/2022,Annual,CHRO,Yes,2022,"{""max_wfh_days_per_week"": 3, ""internet_reimbursement_inr"": 1500, ""equipment_provided"": ""Yes"", ""vpn_required"": ""Yes"", ""core_hours"": ""9am-3pm""}"
1052,WFH Eligibility — Work From Home,Work From Home,WFH Eligibility,HR,Outlines the process for requesting and approving remote work arrangements.,v1.2,06/05/2021,Annual,Department Head,No,2021,"{""max_wfh_days_per_week"": 3, ""internet_reimbursement_inr"": 1500, ""equipment_provided"": ""Yes"", ""vpn_required"": ""No"", ""core_hours"": ""11am-5pm""}"
1053,Hybrid Work Schedule — Work From Home,Work From Home,Hybrid Work Schedule,IT,"Covers data security, availability expectations, and communication protocols for remote workers.",v2.0,14/12/2021,Annual,HR Executive,Yes,2021,"{""max_wfh_days_per_week"": 3, ""internet_reimbursement_inr"": 1000, ""equipment_provided"": ""Yes"", ""vpn_required"": ""Yes"", ""core_hours"": ""10am-4pm""}"
1054,WFH Equipment Policy — Work From Home,Work From Home,WFH Equipment Policy,HR,Defines who is eligible for work from home and under what conditions it can be availed.,v2.0,06/10/2023,As Needed,Line Manager,No,2023,"{""max_wfh_days_per_week"": 5, ""internet_reimbursement_inr"": 1500, ""equipment_provided"": ""Yes"", ""vpn_required"": ""No"", ""core_hours"": ""9am-3pm""}"
1055,WFH Equipment Policy — Work From Home,Work From Home,WFH Equipment Policy,Marketing,Outlines the process for requesting and approving remote work arrangements.,v2.0,27/09/2024,Quarterly,HR Executive,No,2024,"{""max_wfh_days_per_week"": 1, ""internet_reimbursement_inr"": 1500, ""equipment_provided"": ""Yes"", ""vpn_required"": ""No"", ""core_hours"": ""9am-3pm""}"
1056,Hybrid Work Schedule — Work From Home,Work From Home,Hybrid Work Schedule,IT,Defines who is eligible for work from home and under what conditions it can be availed.,v2.0,17/06/2022,Annual,HR Executive,Yes,2022,"{""max_wfh_days_per_week"": 5, ""internet_reimbursement_inr"": 1500, ""equipment_provided"": ""Yes"", ""vpn_required"": ""Yes"", ""core_hours"": ""9am-3pm""}"
1057,Hybrid Work Schedule — Work From Home,Work From Home,Hybrid Work Schedule,Engineering,Defines who is eligible for work from home and under what conditions it can be availed.,v3.0,10/09/2022,Bi-Annual,Line Manager,No,2022,"{""max_wfh_days_per_week"": 1, ""internet_reimbursement_inr"": 1500, ""equipment_provided"": ""Yes"", ""vpn_required"": ""Yes"", ""core_hours"": ""10am-4pm""}"
1058,WFH Request Process — Work From Home,Work From Home,WFH Request Process,IT,Specifies the equipment and internet reimbursement provided for home office setup.,v3.0,16/04/2024,As Needed,CHRO,Yes,2024,"{""max_wfh_days_per_week"": 5, ""internet_reimbursement_inr"": 500, ""equipment_provided"": ""No"", ""vpn_required"": ""Yes"", ""core_hours"": ""11am-5pm""}"
1059,WFH Equipment Policy — Work From Home,Work From Home,WFH Equipment Policy,IT,Specifies the equipment and internet reimbursement provided for home office setup.,v1.2,27/10/2023,Quarterly,HR Manager,No,2023,"{""max_wfh_days_per_week"": 5, ""internet_reimbursement_inr"": 500, ""equipment_provided"": ""No"", ""vpn_required"": ""No"", ""core_hours"": ""9am-3pm""}"
1060,Remote Work Guidelines — Work From Home,Work From Home,Remote Work Guidelines,Marketing,Details the hybrid schedule structure including mandatory office days per week.,v1.1,28/07/2022,As Needed,Department Head,Yes,2022,"{""max_wfh_days_per_week"": 1, ""internet_reimbursement_inr"": 1000, ""equipment_provided"": ""No"", ""vpn_required"": ""No"", ""core_hours"": ""9am-3pm""}"
1061,WFH Eligibility — Work From Home,Work From Home,WFH Eligibility,Customer Support,"Covers data security, availability expectations, and communication protocols for remote workers.",v1.2,17/08/2021,As Needed,HR Manager,No,2021,"{""max_wfh_days_per_week"": 1, ""internet_reimbursement_inr"": 500, ""equipment_provided"": ""No"", ""vpn_required"": ""Yes"", ""core_hours"": ""10am-4pm""}"
1062,WFH Equipment Policy — Work From Home,Work From Home,WFH Equipment Policy,Sales,Details the hybrid schedule structure including mandatory office days per week.,v1.2,21/12/2023,As Needed,Line Manager,No,2023,"{""max_wfh_days_per_week"": 5, ""internet_reimbursement_inr"": 0, ""equipment_provided"": ""Yes"", ""vpn_required"": ""Yes"", ""core_hours"": ""11am-5pm""}"
1063,WFH Eligibility — Work From Home,Work From Home,WFH Eligibility,Sales,Defines who is eligible for work from home and under what conditions it can be availed.,v2.0,02/06/2021,Quarterly,Department Head,Yes,2021,"{""max_wfh_days_per_week"": 1, ""internet_reimbursement_inr"": 1000, ""equipment_provided"": ""No"", ""vpn_required"": ""No"", ""core_hours"": ""9am-3pm""}"
1064,Remote Work Guidelines — Work From Home,Work From Home,Remote Work Guidelines,HR,"Covers data security, availability expectations, and communication protocols for remote workers.",v1.1,20/11/2024,Annual,Department Head,No,2024,"{""max_wfh_days_per_week"": 2, ""internet_reimbursement_inr"": 1500, ""equipment_provided"": ""Yes"", ""vpn_required"": ""Yes"", ""core_hours"": ""9am-3pm""}"
1065,WFH Equipment Policy — Work From Home,Work From Home,WFH Equipment Policy,Operations,Details the hybrid schedule structure including mandatory office days per week.,v3.0,15/06/2021,Bi-Annual,Line Manager,Yes,2021,"{""max_wfh_days_per_week"": 3, ""internet_reimbursement_inr"": 1500, ""equipment_provided"": ""No"", ""vpn_required"": ""No"", ""core_hours"": ""9am-3pm""}"
1066,Hybrid Work Schedule — Work From Home,Work From Home,Hybrid Work Schedule,Legal,Outlines the process for requesting and approving remote work arrangements.,v2.1,01/11/2023,Quarterly,CHRO,No,2023,"{""max_wfh_days_per_week"": 5, ""internet_reimbursement_inr"": 1000, ""equipment_provided"": ""Yes"", ""vpn_required"": ""Yes"", ""core_hours"": ""11am-5pm""}"
1067,WFH Request Process — Work From Home,Work From Home,WFH Request Process,Finance,Specifies the equipment and internet reimbursement provided for home office setup.,v3.0,21/02/2022,Quarterly,Department Head,No,2022,"{""max_wfh_days_per_week"": 1, ""internet_reimbursement_inr"": 1000, ""equipment_provided"": ""No"", ""vpn_required"": ""Yes"", ""core_hours"": ""11am-5pm""}"
1068,WFH Request Process — Work From Home,Work From Home,WFH Request Process,Marketing,Specifies the equipment and internet reimbursement provided for home office setup.,v3.0,05/09/2022,Bi-Annual,HR Executive,No,2022,"{""max_wfh_days_per_week"": 3, ""internet_reimbursement_inr"": 1000, ""equipment_provided"": ""Yes"", ""vpn_required"": ""No"", ""core_hours"": ""9am-3pm""}"
1069,WFH Equipment Policy — Work From Home,Work From Home,WFH Equipment Policy,Sales,Details the hybrid schedule structure including mandatory office days per week.,v1.1,03/07/2023,As Needed,Department Head,No,2023,"{""max_wfh_days_per_week"": 1, ""internet_reimbursement_inr"": 1000, ""equipment_provided"": ""Yes"", ""vpn_required"": ""No"", ""core_hours"": ""9am-3pm""}"
1070,Hybrid Work Schedule — Work From Home,Work From Home,Hybrid Work Schedule,Finance,Defines who is eligible for work from home and under what conditions it can be availed.,v2.0,21/02/2022,Quarterly,HR Manager,Yes,2022,"{""max_wfh_days_per_week"": 5, ""internet_reimbursement_inr"": 1000, ""equipment_provided"": ""No"", ""vpn_required"": ""Yes"", ""core_hours"": ""10am-4pm""}"
1071,WFH Equipment Policy — Work From Home,Work From Home,WFH Equipment Policy,Sales,Defines who is eligible for work from home and under what conditions it can be availed.,v1.1,15/06/2024,Bi-Annual,Line Manager,No,2024,"{""max_wfh_days_per_week"": 5, ""internet_reimbursement_inr"": 500, ""equipment_provided"": ""No"", ""vpn_required"": ""Yes"", ""core_hours"": ""9am-3pm""}"
1072,WFH Eligibility — Work From Home,Work From Home,WFH Eligibility,Admin,Outlines the process for requesting and approving remote work arrangements.,v2.0,22/06/2021,Quarterly,Department Head,Yes,2021,"{""max_wfh_days_per_week"": 3, ""internet_reimbursement_inr"": 0, ""equipment_provided"": ""No"", ""vpn_required"": ""No"", ""core_hours"": ""10am-4pm""}"
1073,WFH Eligibility — Work From Home,Work From Home,WFH Eligibility,Engineering,"Covers data security, availability expectations, and communication protocols for remote workers.",v1.0,26/10/2022,Bi-Annual,CHRO,No,2022,"{""max_wfh_days_per_week"": 2, ""internet_reimbursement_inr"": 0, ""equipment_provided"": ""Yes"", ""vpn_required"": ""Yes"", ""core_hours"": ""10am-4pm""}"
1074,Remote Work Guidelines — Work From Home,Work From Home,Remote Work Guidelines,HR,Specifies the equipment and internet reimbursement provided for home office setup.,v1.1,04/11/2022,Quarterly,Line Manager,No,2022,"{""max_wfh_days_per_week"": 1, ""internet_reimbursement_inr"": 500, ""equipment_provided"": ""Yes"", ""vpn_required"": ""No"", ""core_hours"": ""10am-4pm""}"
1075,WFH Request Process — Work From Home,Work From Home,WFH Request Process,HR,Defines who is eligible for work from home and under what conditions it can be availed.,v3.0,16/08/2021,Annual,HR Executive,Yes,2021,"{""max_wfh_days_per_week"": 3, ""internet_reimbursement_inr"": 0, ""equipment_provided"": ""No"", ""vpn_required"": ""Yes"", ""core_hours"": ""11am-5pm""}"
1076,Remote Work Guidelines — Work From Home,Work From Home,Remote Work Guidelines,Engineering,Details the hybrid schedule structure including mandatory office days per week.,v1.0,22/02/2024,As Needed,HR Executive,Yes,2024,"{""max_wfh_days_per_week"": 5, ""internet_reimbursement_inr"": 1500, ""equipment_provided"": ""Yes"", ""vpn_required"": ""Yes"", ""core_hours"": ""9am-3pm""}"
1077,WFH Request Process — Work From Home,Work From Home,WFH Request Process,Customer Support,"Covers data security, availability expectations, and communication protocols for remote workers.",v2.1,15/09/2023,As Needed,CHRO,No,2023,"{""max_wfh_days_per_week"": 5, ""internet_reimbursement_inr"": 0, ""equipment_provided"": ""Yes"", ""vpn_required"": ""Yes"", ""core_hours"": ""9am-3pm""}"
1078,Hybrid Work Schedule — Work From Home,Work From Home,Hybrid Work Schedule,Legal,Details the hybrid schedule structure including mandatory office days per week.,v2.0,11/11/2024,Quarterly,HR Manager,Yes,2024,"{""max_wfh_days_per_week"": 3, ""internet_reimbursement_inr"": 1000, ""equipment_provided"": ""Yes"", ""vpn_required"": ""No"", ""core_hours"": ""10am-4pm""}"
